id,street,houseNumber,houseNumberAddition,postalcode,totalRent,netRent,serviceCosts,heatingCosts,eenmaligeKosten,areaDwelling,constructionYear,isZelfstandig,availableFromDate,availableFromOriginalDate,availableFrom,publicationDate,closingDate,numberOfReactions,huurtoeslagMogelijk,toewijzingModelTypeInCode,infoveldKort,latitude,longitude,urlKey,stad,gemeente,wijk,buurt,corporatie,woningtype,energielabel,verwarming,slaapkamers,keuken,verdieping,actielabel,model,woningsoort,doelgroepen,gescraped_op
131696,Uilenstede,437,5198,1183 AG,572.66,417.73,154.93,,2.42,18,,0,2026-05-02T00:00:00.000Z,2026-05-02T00:00:00.000Z,,2026-04-16T08:52:00.000Z,2026-04-20T08:52:00.000Z,106,1,winkelmodel,,52.3196,4.87433,131696-uilenstede-437-5198-amstelveen,Amstelveen,Amstelveen,Uilenstede en Kronenburg,,01,Zelf inrichten,Energielabel E,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,7e verdieping,,aanbodmodel,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131699,Daalwijk,901,A,1102 AA,578.62,384.12,194.5,,230.79,17,,0,2026-05-16T00:00:00.000Z,2026-05-16T00:00:00.000Z,,2026-04-16T08:55:00.000Z,2026-04-20T08:55:00.000Z,20,0,winkelmodel,LET OP: tijdelijke verhuur tot 10-08-2026,52.3208,4.95042,131699-daalwijk-901-a-amsterdam,Amsterdam,Amsterdam,Stadsdeel Zuidoost,,01,Gemeubileerd,Energielabel C,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,10e verdieping,,dth,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131702,Dijkgraaf,4,-10B-X,6708 PG,545.82,407.58,138.24,,0,0,1977,0,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-17T07:00:00.000Z,2026-04-20T07:00:00.000Z,2,1,winkelmodel,,51.9803,5.65684,131702-dijkgraaf-4--10b-x-wageningen,Wageningen,Wageningen,Wageningen stad,,02,Zelf inrichten,Energielabel D,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,10e verdieping,,aanbodmodel,woningsoort_onzelfstandig,Studentr,2026-04-20 00:45
131703,Dijkgraaf,4,-07B-2,6708 PG,553.86,397.42,156.44,,30,0,1977,0,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-18T07:00:00.000Z,2026-04-21T07:00:00.000Z,3,1,winkelmodel,,51.9803,5.65684,131703-dijkgraaf-4--07b-2-wageningen,Wageningen,Wageningen,Wageningen stad,,02,Gemeubileerd,Energielabel D,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,7e verdieping,,aanbodmodel,woningsoort_onzelfstandig,Studentr,2026-04-20 00:45
131704,Dijkgraaf,4,-01C18,6708 PG,515.26,377.02,138.24,,0,0,1977,0,2026-05-27T00:00:00.000Z,2026-05-27T00:00:00.000Z,,2026-04-17T07:00:00.000Z,2026-04-20T07:00:00.000Z,3,1,winkelmodel,,51.9803,5.65684,131704-dijkgraaf-4--01c18-wageningen,Wageningen,Wageningen,Wageningen stad,,02,Zelf inrichten,Energielabel D,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,1e verdieping,,aanbodmodel,woningsoort_onzelfstandig,Studentr,2026-04-20 00:45
131708,Balthasar van der Polweg,726,,2628 ZH,719.98,574.45,145.53,,2.42,31,,1,2026-05-17T00:00:00.000Z,2026-05-17T00:00:00.000Z,,2026-04-16T10:44:00.000Z,2026-04-23T10:44:00.000Z,78,1,winkelmodel,,51.9961,4.37283,131708-balthasarvanderpolweg-726-delft,Delft,Delft,Wippolder,,01,Zelf inrichten,Energielabel A,Stadsverwarming,1  slaap/woonkamer,Open keuken,5e verdieping,,aanbodmodel,woningsoort_zelfstandig,student,2026-04-20 00:45
131709,Mudaheerd,26,K1,9737 SW,736.14,601.06,44.83,79.39,0,17,1981,0,2026-04-23T00:00:00.000Z,2026-01-12T00:00:00.000Z,,2026-04-16T09:48:00.000Z,2026-04-23T09:48:00.000Z,0,1,winkelmodel,,53.2504,6.58654,131709-mudaheerd-26-k1-groningen,Groningen,Groningen,Beijum-West,,10,Zelf inrichten,Energielabel A,CV,1  slaap/woonkamer,Gemeenschappelijke keuken,3e verdieping,,aanbodmodel,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131713,Eendrachtskade,58,K2,9726 DA,511.59,356.69,58.08,61.69,0,13,1971,0,2026-04-23T00:00:00.000Z,2026-04-20T00:00:00.000Z,,2026-04-16T10:55:00.000Z,2026-04-23T10:55:00.000Z,21,1,winkelmodel,,53.2143,6.5509,131713-eendrachtskade-58-k2-groningen,Groningen,Groningen,Zeeheldenbuurt,,10,Zelf inrichten,,CV,1  slaap/woonkamer,Dichte keuken,Begane grond,,aanbodmodel,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131719,Haarweg,151,-216,6709 RC,588.87,417.73,171.14,,30,0,1983,0,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-17T07:00:00.000Z,2026-04-20T07:00:00.000Z,3,1,winkelmodel,,51.9663,5.64899,131719-haarweg-151--216-wageningen,Wageningen,Wageningen,Wageningen stad,,02,Gemeubileerd,Energielabel D,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,2e verdieping,,aanbodmodel,woningsoort_onzelfstandig,Studentr,2026-04-20 00:45
131723,Nieuwe Kanaal,1,-259,6709 PA,757.64,617.08,140.56,,60,0,2019,1,2026-05-15T00:00:00.000Z,2026-05-14T00:00:00.000Z,,2026-04-17T07:00:00.000Z,2026-04-20T07:00:00.000Z,20,1,winkelmodel,,51.9745,5.64959,131723-nieuwekanaal-1--259-wageningen,Wageningen,Wageningen,Wageningen campus,,02,Gemeubileerd,,CV,1  slaap/woonkamer,Open keuken,2e verdieping,,aanbodmodel,woningsoort_zelfstandig,Studentr,2026-04-20 00:45
131724,Nieuwe Kanaal,1,-319,6709 PA,759.23,617.08,142.15,,60,0,2019,1,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-18T07:00:00.000Z,2026-04-21T07:00:00.000Z,12,1,winkelmodel,,51.9745,5.64959,131724-nieuwekanaal-1--319-wageningen,Wageningen,Wageningen,Wageningen campus,,02,Gemeubileerd,,CV,1  slaap/woonkamer,Open keuken,3e verdieping,,aanbodmodel,woningsoort_zelfstandig,Studentr,2026-04-20 00:45
131725,Grevingaheerd,35,,9737 SC,750.54,644.53,29.83,65,0,20,1981,1,2026-05-21T00:00:00.000Z,2026-05-21T00:00:00.000Z,,2026-04-16T13:49:00.000Z,2026-04-23T13:49:00.000Z,24,1,winkelmodel,,53.2474,6.59123,131725-grevingaheerd-35-groningen,Groningen,Groningen,Beijum-West,,10,Zelf inrichten,Energielabel A,CV,1  slaap/woonkamer,Open keuken,2e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131726,Grevingaheerd,44,,9737 SE,786.38,651.36,29.83,94.01,0,21,1981,1,2026-05-29T00:00:00.000Z,2026-05-29T00:00:00.000Z,,2026-04-16T13:51:00.000Z,2026-04-23T13:51:00.000Z,20,1,winkelmodel,,53.2474,6.59079,131726-grevingaheerd-44-groningen,Groningen,Groningen,Beijum-West,,10,Zelf inrichten,Energielabel A,CV,1  slaap/woonkamer,Open keuken,Begane grond,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131727,Nieuwe Kanaal,1,-270,6709 PA,759.72,617.08,142.64,,60,0,2019,1,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-17T07:00:00.000Z,2026-04-20T07:00:00.000Z,19,1,winkelmodel,,51.9745,5.64959,131727-nieuwekanaal-1--270-wageningen,Wageningen,Wageningen,Wageningen campus,,02,Gemeubileerd,,CV,1  slaap/woonkamer,Open keuken,2e verdieping,,aanbodmodel,woningsoort_zelfstandig,Studentr,2026-04-20 00:45
131728,Nieuwe Kanaal,1,-266,6709 PA,759.06,617.08,141.98,,60,0,2019,1,2026-07-07T00:00:00.000Z,2026-07-07T00:00:00.000Z,,2026-04-18T07:00:00.000Z,2026-04-21T07:00:00.000Z,16,1,winkelmodel,,51.9745,5.64959,131728-nieuwekanaal-1--266-wageningen,Wageningen,Wageningen,Wageningen campus,,02,Gemeubileerd,,CV,1  slaap/woonkamer,Open keuken,2e verdieping,,aanbodmodel,woningsoort_zelfstandig,Studentr,2026-04-20 00:45
131729,Van Heemskerckstraat,1,X K13,9726 GB,835.93,648.24,114.13,43.56,0,18,1966,0,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-16T14:05:00.000Z,2026-04-23T14:05:00.000Z,30,1,winkelmodel,,53.2142,6.55145,131729-vanheemskerckstraat-1-xk13-groningen,Groningen,Groningen,Zeeheldenbuurt,,10,Gestoffeerd,Energielabel A,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,9e verdieping,,aanbodmodel,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131733,Omegaplantsoen,771,,2321 KW,683.57,608.97,74.6,,2.42,27,,1,2026-05-17T00:00:00.000Z,2026-05-17T00:00:00.000Z,,2026-04-17T12:32:00.000Z,2026-04-24T12:32:00.000Z,76,1,winkelmodel,,52.1446,4.49222,131733-omegaplantsoen-771-leiden,Leiden,Leiden,Roodenburgerdistrict,,01,Zelf inrichten,Energielabel A,CV,1  slaap/woonkamer,Open keuken,4e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
